,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
1927,Pseudomonas~phage~73,Caudovirales,Siphoviridae,Septima3virus,1_0,Clustered,13,VC_1_0,13,0.699,1.0,0.699,5,2,2,1.0
1928,Pseudomonas~phage~Andromeda,Caudovirales,Autographiviridae,Bifseptvirus,92_0,Clustered,19,VC_92_0,19,0.4231,1.0,0.4231,14,1,1,1.0
1929,Pseudomonas~phage~B3,Caudovirales,Siphoviridae,Beetrevirus,280_0,Clustered,5,VC_280_0,5,0.3132,0.99999993,0.3132,2,1,1,1.0
1930,Pseudomonas~phage~Bf7,Caudovirales,Autographiviridae,Bifseptvirus,92_0,Clustered,19,VC_92_0,19,0.4231,1.0,0.4231,14,1,1,1.0
1931,Pseudomonas~phage~Bjorn,Caudovirales,Podoviridae,Bjornvirus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
1932,Pseudomonas~phage~BrSP1,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1933,Pseudomonas~phage~C11,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1934,Pseudomonas~phage~CHA_P1,Caudovirales,Myoviridae,Kpp10virus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
1935,Pseudomonas~phage~DL54,Caudovirales,Podoviridae,Bruynoghevirus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
1936,Pseudomonas~phage~DL60,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1937,Pseudomonas~phage~DL62,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
1938,Pseudomonas~phage~DL64,Caudovirales,Podoviridae,Litunavirus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
1939,Pseudomonas~phage~DL68,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1940,Pseudomonas~phage~Dobby,Caudovirales,Myoviridae,Citexvirus,121_0,Clustered,45,VC_121_0,45,0.8177,1.0,0.8177,15,2,2,1.0
1941,Pseudomonas~phage~EL,Caudovirales,Myoviridae,Elvirus,344_1,Clustered,2,VC_344_1,2,0.0565,0.95433063,0.0539,2,1,1,1.0
1942,Pseudomonas~phage~EPa61,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1943,Pseudomonas~phage~F10,Caudovirales,Siphoviridae,Unassigned,348_0,Clustered,4,VC_348_0,4,0.6494,0.99982489,0.6493,1,2,2,1.0
1944,Pseudomonas~phage~F8,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1945,Pseudomonas~phage~H70,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1946,Pseudomonas~phage~Henninger,Caudovirales,Autographiviridae,Ghunavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
1947,Pseudomonas~phage~JBD24,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1948,Pseudomonas~phage~JBD25,Caudovirales,Siphoviridae,Unassigned,280_0,Clustered,5,VC_280_0,5,0.3132,0.99999993,0.3132,2,1,1,1.0
1949,Pseudomonas~phage~JBD30,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1950,Pseudomonas~phage~JBD44,Caudovirales,Siphoviridae,Unassigned,63_1,Clustered/Singleton,1,VC_63_1,1,0.0,1.0,0.0,1,1,1,1.0
1951,Pseudomonas~phage~JBD5,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1952,Pseudomonas~phage~JBD67,Caudovirales,Siphoviridae,Beetrevirus,280_0,Clustered,5,VC_280_0,5,0.3132,0.99999993,0.3132,2,1,1,1.0
1953,Pseudomonas~phage~JBD69,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1954,Pseudomonas~phage~JBD88a,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1955,Pseudomonas~phage~JBD93,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1956,Pseudomonas~phage~JD024,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1957,Pseudomonas~phage~JD18,Caudovirales,Siphoviridae,Beetrevirus,280_0,Clustered,5,VC_280_0,5,0.3132,0.99999993,0.3132,2,1,1,1.0
1958,Pseudomonas~phage~JG004,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1959,Pseudomonas~phage~JG024,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1960,Pseudomonas~phage~K5,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1961,Pseudomonas~phage~K8,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1962,Pseudomonas~phage~KPP10,Caudovirales,Myoviridae,Kpp10virus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
1963,Pseudomonas~phage~KPP12,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1964,Pseudomonas~phage~KPP21,Caudovirales,Podoviridae,Luz7virus,8_0,Clustered,2,VC_8_0,2,0.0903,0.95495704,0.0862,1,1,1,1.0
1965,Pseudomonas~phage~KPP25,Caudovirales,Podoviridae,Kpp25virus,475_0,Clustered,2,VC_475_0,2,0.8678,0.89435023,0.7761,1,1,1,1.0
1966,Pseudomonas~phage~LBL3,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1967,Pseudomonas~phage~LIT1,Caudovirales,Podoviridae,Lit1virus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
1968,Pseudomonas~phage~LKA1,Caudovirales,Podoviridae,Phikmvvirus,360_0,Clustered,2,VC_360_0,2,0.0292,0.953764,0.0279,2,2,1,1.0
1969,Pseudomonas~phage~LKD16,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
1970,Pseudomonas~phage~LKO4,Caudovirales,Siphoviridae,Yuavirus,2_0,Clustered,5,VC_2_0,5,0.4892,0.99999994,0.4892,1,1,1,1.0
1971,Pseudomonas~phage~LMA2,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1972,Pseudomonas~phage~LUZ19,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
1973,Pseudomonas~phage~LUZ7,Caudovirales,Podoviridae,Luz7virus,8_0,Clustered,2,VC_8_0,2,0.0903,0.95495704,0.0862,1,1,1,1.0
1974,Pseudomonas~phage~Lana,Caudovirales,Siphoviridae,Lanavirus,477_0,Clustered,2,VC_477_0,2,0.8978,0.72985431,0.6553,2,1,1,1.0
1975,Pseudomonas~phage~Lu11,Caudovirales,Myoviridae,Unassigned,363_2,Clustered/Singleton,1,VC_363_2,1,0.0,1.0,0.0,1,1,1,1.0
1976,Pseudomonas~phage~MD8,Caudovirales,Siphoviridae,Unassigned,348_0,Clustered,4,VC_348_0,4,0.6494,0.99982489,0.6493,1,2,2,1.0
1977,Pseudomonas~phage~MP1412,Caudovirales,Siphoviridae,Yuavirus,2_0,Clustered,5,VC_2_0,5,0.4892,0.99999994,0.4892,1,1,1,1.0
1978,Pseudomonas~phage~MP42,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1979,Pseudomonas~phage~MP48,Caudovirales,Siphoviridae,Casadabanvirus,390_0,Clustered,19,VC_390_0,19,0.8352,1.0,0.8352,2,1,1,1.0
1980,Pseudomonas~phage~MPK6,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
1981,Pseudomonas~phage~MPK7,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
1982,Pseudomonas~phage~NH-4,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1983,Pseudomonas~phage~NV1,Caudovirales,Podoviridae,Vicosavirus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
1984,Pseudomonas~phage~O4,Caudovirales,Podoviridae,Unassigned,102_0,Clustered,5,VC_102_0,5,0.5373,0.99999986,0.5373,1,2,2,1.0
1985,Pseudomonas~phage~OBP,Caudovirales,Myoviridae,Unassigned,344_0,Clustered,2,VC_344_0,2,0.1559,0.95325971,0.1486,1,1,1,1.0
1986,Pseudomonas~phage~PA01,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1987,Pseudomonas~phage~PA10,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1988,Pseudomonas~phage~PA11,Caudovirales,Podoviridae,Unassigned,102_0,Clustered,5,VC_102_0,5,0.5373,0.99999986,0.5373,1,2,2,1.0
1989,Pseudomonas~phage~PA26,Caudovirales,Podoviridae,Lit1virus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
1990,Pseudomonas~phage~PA5,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
1991,Pseudomonas~phage~PAE1,Caudovirales,Siphoviridae,Yuavirus,2_0,Clustered,5,VC_2_0,5,0.4892,0.99999994,0.4892,1,1,1,1.0
1992,Pseudomonas~phage~PAJU2,Caudovirales,Siphoviridae,Unassigned,63_3,Clustered/Singleton,1,VC_63_3,1,0.0,1.0,0.0,1,1,1,1.0
1993,Pseudomonas~phage~PAK_P1,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1994,Pseudomonas~phage~PAK_P2,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1995,Pseudomonas~phage~PAK_P3,Caudovirales,Myoviridae,Kpp10virus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
1996,Pseudomonas~phage~PAK_P4,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
1997,Pseudomonas~phage~PAK_P5,Caudovirales,Myoviridae,Kpp10virus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
1998,Pseudomonas~phage~PAXYB1,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
1999,Pseudomonas~phage~PB1,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2000,Pseudomonas~phage~PEV2,Caudovirales,Podoviridae,Lit1virus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
2001,Pseudomonas~phage~PFP1,Caudovirales,Autographiviridae,Pifdecavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2002,Pseudomonas~phage~PMBT3,Caudovirales,Siphoviridae,Maxrubnervirus,477_0,Clustered,2,VC_477_0,2,0.8978,0.72985431,0.6553,2,1,1,1.0
2003,Pseudomonas~phage~PP7,Levivirales,Leviviridae,Unassigned,298_0,Clustered,2,VC_298_0,2,0.0769,0.0,0.0,1,1,1,1.0
2004,Pseudomonas~phage~PPPL-1,Caudovirales,Autographiviridae,Ghunavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2005,Pseudomonas~phage~PPpW-3,Caudovirales,Myoviridae,Jilinvirus,115_0,Clustered,5,VC_115_0,5,0.3508,0.99999996,0.3508,2,1,1,1.0
2006,Pseudomonas~phage~PPpW-4,Caudovirales,Autographiviridae,Phutvirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2007,Pseudomonas~phage~PRR1,Levivirales,Leviviridae,Levivirus,297_0,Clustered,4,VC_297_0,4,0.6757,0.99999712,0.6757,1,1,1,1.0
2008,Pseudomonas~phage~PT2,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2009,Pseudomonas~phage~PT5,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2010,Pseudomonas~phage~Pa2,Caudovirales,Podoviridae,Litunavirus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
2011,Pseudomonas~phage~PaBG,Caudovirales,Myoviridae,Baikalvirus,363_0,Clustered/Singleton,1,VC_363_0,1,0.0,1.0,0.0,1,1,1,1.0
2012,Pseudomonas~phage~PaMx42,Caudovirales,Siphoviridae,Septimatrevirus,1_0,Clustered,13,VC_1_0,13,0.699,1.0,0.699,5,2,2,1.0
2013,Pseudomonas~phage~PaP1,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2014,Pseudomonas~phage~PaP2,Caudovirales,Podoviridae,Unassigned,478_0,Clustered,2,VC_478_0,2,1.0,1.0,1.0,1,1,1,1.0
2015,Pseudomonas~phage~PaP4,Caudovirales,Podoviridae,Luz24virus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2016,Pseudomonas~phage~PaoP5,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2017,Pseudomonas~phage~Pf-10,Caudovirales,Autographiviridae,Pifdecavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2018,Pseudomonas~phage~Phi-S1,Caudovirales,Autographiviridae,Pifdecavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2019,Pseudomonas~phage~PhiCHU,Caudovirales,Podoviridae,Luz24virus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2020,Pseudomonas~phage~PollyC,Caudovirales,Autographiviridae,Pollyceevirus,92_0,Clustered,19,VC_92_0,19,0.4231,1.0,0.4231,14,1,1,1.0
2021,Pseudomonas~phage~PspYZU08,Caudovirales,Autographiviridae,Pijolavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2022,Pseudomonas~phage~R12,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2023,Pseudomonas~phage~R26,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2024,Pseudomonas~phage~RLP,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2025,Pseudomonas~phage~SL1,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2026,Pseudomonas~phage~SN,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2027,Pseudomonas~phage~TL,Caudovirales,Podoviridae,Luz24virus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2028,Pseudomonas~phage~UFV-P2,Caudovirales,Podoviridae,Vicosavirus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2029,Pseudomonas~phage~UNO-SLW1,Caudovirales,Autographiviridae,Pifdecavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2030,Pseudomonas~phage~VCM,Caudovirales,Myoviridae,Otagovirus,61_1,Clustered,2,VC_61_1,2,0.0749,0.95453971,0.0715,1,1,1,1.0
2031,Pseudomonas~phage~VSW-3,Caudovirales,Autographiviridae,Napahaivirus,92_0,Clustered,19,VC_92_0,19,0.4231,1.0,0.4231,14,1,1,1.0
2032,Pseudomonas~phage~YH30,Caudovirales,Podoviridae,Litunavirus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
2033,Pseudomonas~phage~YH6,Caudovirales,Podoviridae,Litunavirus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
2034,Pseudomonas~phage~YMC11/02/R656,Caudovirales,Siphoviridae,Unassigned,63_4,Clustered/Singleton,1,VC_63_4,1,0.0,1.0,0.0,1,1,1,1.0
2035,Pseudomonas~phage~YMC11/06/C171_PPU_BP,Caudovirales,Autographiviridae,Kantovirus,94_0,Clustered,16,VC_94_0,16,0.7431,1.0,0.7431,4,1,1,1.0
2036,Pseudomonas~phage~YMC11/07/P54_PAE_BP,Caudovirales,Siphoviridae,Unassigned,63_0,Clustered,2,VC_63_0,2,0.2288,0.9503657,0.2175,1,1,1,1.0
2037,Pseudomonas~phage~Zigelbrucke,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2038,Pseudomonas~phage~Zuri,Caudovirales,Podoviridae,Jwalphavirus,7_0,Clustered,20,VC_7_0,20,0.6012,1.0,0.6012,7,1,1,0.8
2039,Pseudomonas~phage~nickie,Caudovirales,Siphoviridae,Nickievirus,372_0,Clustered,2,VC_372_0,2,0.3542,0.85557782,0.303,1,1,1,1.0
2040,Pseudomonas~phage~phi-2,Caudovirales,Autographiviridae,Tunggulviirus,360_0,Clustered,2,VC_360_0,2,0.0292,0.953764,0.0279,2,2,1,1.0
2041,Pseudomonas~phage~phi12,Mindivirales,Cystoviridae,Cystovirus,480_0,Clustered,2,VC_480_0,2,0.5599,0.72985431,0.4087,1,1,1,1.0
2042,Pseudomonas~phage~phi13,Mindivirales,Cystoviridae,Cystovirus,479_0,Clustered,2,VC_479_0,2,0.5376,0.89847992,0.483,1,1,1,1.0
2043,Pseudomonas~phage~phi15,Caudovirales,Autographiviridae,Troedvirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2044,Pseudomonas~phage~phi2,Caudovirales,Siphoviridae,Unassigned,348_0,Clustered,4,VC_348_0,4,0.6494,0.99982489,0.6493,1,2,2,1.0
2045,Pseudomonas~phage~phi2954,Mindivirales,Cystoviridae,Cystovirus,480_0,Clustered,2,VC_480_0,2,0.5599,0.72985431,0.4087,1,1,1,1.0
2046,Pseudomonas~phage~phi297,Caudovirales,Siphoviridae,Unassigned,63_0,Clustered,2,VC_63_0,2,0.2288,0.9503657,0.2175,1,1,1,1.0
2047,Pseudomonas~phage~phi3,Caudovirales,Myoviridae,Phitrevirus,120_0,Clustered,15,VC_120_0,15,0.9036,1.0,0.9036,9,2,2,1.0
2048,Pseudomonas~phage~phiIBB-PAA2,Caudovirales,Podoviridae,Luz24virus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2049,Pseudomonas~phage~phiIBB-PF7A,Caudovirales,Autographiviridae,Pifdecavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2050,Pseudomonas~phage~phiKMV,Caudovirales,Podoviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2051,Pseudomonas~phage~phiKTN6,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2052,Pseudomonas~phage~phiMK,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2053,Pseudomonas~phage~phiNFS,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2054,Pseudomonas~phage~phiNN,Mindivirales,Cystoviridae,Cystovirus,481_0,Clustered,2,VC_481_0,2,0.6558,0.86822376,0.5694,1,1,1,1.0
2055,Pseudomonas~phage~phiPSA1,Caudovirales,Siphoviridae,Unassigned,54_0,Clustered,3,VC_54_0,3,0.154,0.96809088,0.1491,1,2,2,1.0
2056,Pseudomonas~phage~phiPSA2,Caudovirales,Autographiviridae,Ghunavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2057,Pseudomonas~phage~phiPsa17,Caudovirales,Autographiviridae,Ghunavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2058,Pseudomonas~phage~phiPsa374,Caudovirales,Myoviridae,Otagovirus,61_1,Clustered,2,VC_61_1,2,0.0749,0.95453971,0.0715,1,1,1,1.0
2059,Pseudomonas~phage~phiR18,Caudovirales,Podoviridae,Kpp25virus,475_0,Clustered,2,VC_475_0,2,0.8678,0.89435023,0.7761,1,1,1,1.0
2060,Pseudomonas~phage~phiYY,Mindivirales,Cystoviridae,Cystovirus,479_0,Clustered,2,VC_479_0,2,0.5376,0.89847992,0.483,1,1,1,1.0
2061,Pseudomonas~phage~phikF77,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2062,Pseudomonas~phage~shl2,Caudovirales,Autographiviridae,Ghunavirus,321_0,Clustered,18,VC_321_0,18,0.542,1.0,0.542,7,2,1,1.0
2063,Pseudomonas~phage~tabernarius,Caudovirales,Myoviridae,Tabernariusvirus,272_0,Clustered,6,VC_272_0,6,0.0828,0.68411725,0.0566,4,1,1,0.8667
2064,Pseudomonas~phage~tf,Caudovirales,Podoviridae,Krylovvirus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2065,Pseudomonas~phage~vB_Pae-Kakheti25,Caudovirales,Siphoviridae,Septima3virus,1_0,Clustered,13,VC_1_0,13,0.699,1.0,0.699,5,2,2,1.0
2066,Pseudomonas~phage~vB_Pae-TbilisiM32,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2067,Pseudomonas~phage~vB_PaeM_C2-10_Ab02,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2068,Pseudomonas~phage~vB_PaeM_C2-10_Ab1,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2069,Pseudomonas~phage~vB_PaeM_CEB_DP1,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2070,Pseudomonas~phage~vB_PaeM_E215,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2071,Pseudomonas~phage~vB_PaeM_E217,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2072,Pseudomonas~phage~vB_PaeM_G1,Caudovirales,Myoviridae,Nankokuvirus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
2073,Pseudomonas~phage~vB_PaeM_LS1,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2074,Pseudomonas~phage~vB_PaeM_MAG1,Caudovirales,Myoviridae,Pakpunavirus,59_0,Clustered,15,VC_59_0,15,0.7175,1.0,0.7175,1,1,1,1.0
2075,Pseudomonas~phage~vB_PaeM_PAO1_Ab03,Caudovirales,Myoviridae,Kpp10virus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
2076,Pseudomonas~phage~vB_PaeM_PAO1_Ab27,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2077,Pseudomonas~phage~vB_PaeM_PS24,Caudovirales,Myoviridae,Nankokuvirus,60_0,Clustered,7,VC_60_0,7,0.4696,1.0,0.4696,2,1,1,1.0
2078,Pseudomonas~phage~vB_PaeM_SCUT-S1,Caudovirales,Myoviridae,Pbunavirus,275_0,Clustered,27,VC_275_0,27,0.7784,1.0,0.7784,1,1,1,1.0
2079,Pseudomonas~phage~vB_PaeP_130_113,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2080,Pseudomonas~phage~vB_PaeP_C2-10_Ab09,Caudovirales,Podoviridae,Lit1virus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
2081,Pseudomonas~phage~vB_PaeP_C2-10_Ab22,Caudovirales,Podoviridae,Luz24virus,101_0,Clustered,13,VC_101_0,13,0.8984,1.0,0.8984,5,1,1,1.0
2082,Pseudomonas~phage~vB_PaeP_MAG4,Caudovirales,Podoviridae,Litunavirus,8_1,Clustered,9,VC_8_1,9,0.5264,1.0,0.5264,2,1,1,1.0
2083,Pseudomonas~phage~vB_PaeP_PAO1_1-15pyo,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2084,Pseudomonas~phage~vB_PaeP_PAO1_Ab05,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
2085,Pseudomonas~phage~vB_PaeP_PPA-ABTNL,Caudovirales,Autographiviridae,Phikmvvirus,377_0,Clustered,17,VC_377_0,17,0.8416,1.0,0.8416,1,2,1,1.0
